m,n,a_mn,b_mn,c_mn,a_nm,b_nm,c_nm
1,2,2409.4,-3.0099,0,82.593,-0.4857,0
1,3,2777,-4.674,1.55E-003,1606,-4.746,9.18E-004
1,4,1391.3,-3.6156,1.14E-003,-17.253,0.8389,9.02E-004
1,5,433.6,0.1473,0,199,-0.8709,0
1,6,312.15,0,0,2287.7,0,0
1,7,6767.4,49.151,0,-1899,72.291,0
1,8,-2071.6,0.228,0,12803,5.1318,0
1,9,3301.9,-1.1392,0,9829.3,-27.36,0
1,10,6731.4,47,0,-7424.5,20.728,0
1,11,4132.9,-9.7629,0,4604.1,-1.9374,0
1,12,15173,25.224,0,2659.9,28.576,0
1,13,11539,0.6448,0,-90.48,0.0202,0
2,3,-1218.2,9.7928,-1.62E-002,346.31,-2.4583,2.93E-003
2,4,108.2,-0.9224,0,-774.5,3.872,0
2,5,86.439,-0.4651,0,394.78,-0.3605,0
2,6,4176.6,0,0,-667.74,0,0
2,7,62.476,-0.8298,0,-346.14,7.1428,0
2,8,-5705.1,0,0,12101,0,0
2,9,13107,0,0,15330,0,0
2,10,-1061.7,0,0,-754.82,0,0
2,11,613.04,-0.0226,0,-278.6,-1.4839,0
2,12,137.8,0,0,18660,0,0
2,13,13406,0,0,13572,0,0
3,4,-801.9,3.834,-7.51E-003,1460,-8.673,1.64E-002
3,5,-250,2.857,-6.02E-003,653.3,-1.412,9.54E-004
3,6,905.15,0,0,-1724.7,0,0
3,7,-7007.6,14.053,0,-2974.7,8.1759,0
3,8,-5941.1,0.0032,0,399.74,0.0053,0
3,9,13532,-37.194,0,-4932.8,17.958,0
3,10,4286.2,-62.547,0,4950.2,-15.522,0
3,11,-115.76,0.916,0,-86.924,-0.3915,0
3,12,9807.3,7.4335,0,77.544,45.319,0
3,13,-117.9,-0.0098,0,28.536,-0.015,0
4,5,190.5,-0.3669,8.84E-003,770.6,-0.5873,8.84E-003
4,6,-685.64,0,0,-1077,0,0
4,7,-1970.2,1.2864,0,-552.42,-0.0097,0
4,8,-5616.8,0.4801,0,-481.55,-0.0051,0
4,9,324.9,0,0,-1199,0,0
4,10,5.3069,0.4377,0,-144.82,-0.0174,0
4,11,784.16,-0.0035,0,1804,0.9839,0
4,12,375.75,0,0,3770.6,0,0
4,13,845.74,0,0,-429.01,0,0
5,6,na,na,na,na,na,na
5,7,na,na,na,na,na,na
5,8,40.784,15.021,0,882.76,30.799,0
5,9,959.7,44.475,0,355.43,56.379,0
5,10,188.39,70.657,0,1409.2,34.301,0
5,11,na,na,na,na,na,na
5,12,na,na,na,na,na,na
5,13,na,na,na,na,na,na
6,7,NC,NC,NC,NC,NC,NC
6,8,NC,NC,NC,NC,NC,NC
6,9,NC,NC,NC,NC,NC,NC
6,10,-22524,0,0,-1162.4,0,0
6,11,685.19,0,0,117.19,0,0
6,12,na,na,na,na,na,na
6,13,na,na,na,na,na,na
7,8,NC,NC,NC,NC,NC,NC
7,9,NC,NC,NC,NC,NC,NC
7,10,23275,2.224,0,-2425.8,0.0221,0
7,11,515.03,7.0034,0,-131.15,-2.0392,0
7,12,65.634,0,0,-2218.1,0,0
7,13,1264.4,0,0,-2354.6,0,0
8,9,NC,NC,NC,NC,NC,NC
8,10,18.581,0,0,-6110.8,0,0
8,11,-828.69,0,0,5635.3,0,0
8,12,137.38,-0.02222,0,-6306.2,0.4693,0
8,13,372.64,0.0012,0,-6012.6,0.0074,0
9,10,-570.39,-51.551,0,3632,36.131,0
9,11,na,na,na,na,na,na
9,12,-733.52,0,0,-454.86,0,0
9,13,na,na,na,na,na,na
10,11,NC,NC,NC,NC,NC,NC
10,12,NC,NC,NC,NC,NC,NC
10,13,NC,NC,NC,NC,NC,NC
11,12,NC,NC,NC,NC,NC,NC
11,13,NC,NC,NC,NC,NC,NC
12,13,NC,NC,NC,NC,NC,NC
